,true_data,predict_data
0,0,2
1,0,0
2,4,0
3,0,2
4,0,2
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,0,2
13,2,2
14,4,4
15,4,4
16,0,2
17,3,1
18,0,2
19,0,2
20,4,4
21,4,0
22,0,2
23,0,0
24,4,4
25,0,3
26,4,0
27,0,2
28,0,2
29,0,2
30,3,1
31,4,2
32,0,2
33,3,0
34,0,1
35,0,0
36,0,1
37,4,3
38,0,2
39,4,3
40,4,2
41,4,3
42,0,0
43,0,0
44,0,2
45,4,1
46,4,0
47,0,2
48,2,2
49,4,2
50,0,2
51,4,0
52,4,0
53,0,2
54,0,1
55,0,1
56,3,1
57,4,3
58,4,2
59,0,1
60,0,2
61,4,0
62,3,0
63,0,2
64,4,0
65,0,0
66,3,4
67,4,2
68,4,4
69,4,3
70,0,2
71,4,0
72,0,3
73,0,1
74,4,0
75,0,2
76,4,1
77,0,2
78,0,2
79,4,0
80,0,2
81,4,3
82,4,1
83,3,1
84,0,2
85,4,0
86,0,2
87,4,2
88,4,0
89,0,0
90,0,2
91,0,2
92,0,1
93,4,0
94,4,1
95,0,0
96,0,0
97,0,2
98,0,0
99,4,0
100,0,2
101,0,2
102,0,2
103,0,2
104,4,0
105,0,2
106,0,2
107,0,2
108,0,2
109,0,2
110,0,2
111,0,0
112,0,2
113,0,2
114,0,2
115,3,0
116,4,3
117,0,0
118,0,2
119,0,2
120,4,3
121,4,1
122,4,1
123,0,2
124,4,1
125,0,2
126,0,1
127,0,0
128,0,1
129,0,2
130,4,0
131,4,4
132,0,2
133,0,2
134,4,0
135,4,3
136,0,0
137,0,2
138,4,1
139,4,0
140,0,2
141,4,1
142,4,4
143,0,2
144,0,2
145,0,2
146,3,2
147,0,2
148,2,2
149,4,3
150,4,0
151,0,2
152,4,3
153,4,3
154,4,2
155,0,1
156,0,2
157,4,1
158,3,1
159,4,3
160,0,2
161,0,2
162,0,1
163,0,2
164,4,0
165,3,0
166,0,2
167,0,2
168,0,2
169,0,2
170,4,2
171,0,2
172,4,1
173,4,2
174,4,0
175,4,3
176,0,2
177,3,0
178,3,0
179,4,4
180,0,1
181,0,0
182,0,2
183,0,0
184,4,0
185,4,2
186,4,0
187,4,0
188,0,0
189,0,2
190,2,2
191,0,2
192,4,0
193,4,1
194,0,2
195,0,2
196,0,2
197,0,2
198,3,0
199,0,2
200,0,2
201,4,4
202,0,2
203,0,0
204,0,0
205,0,0
206,4,3
207,0,2
208,0,2
209,4,4
210,3,0
211,4,1
212,4,4
213,0,2
214,4,4
215,4,3
216,0,2
217,0,2
218,0,2
219,0,0
220,0,2
221,4,4
222,2,2
223,4,2
224,3,1
225,0,2
226,0,2
227,4,4
228,0,2
229,0,2
230,0,0
231,0,2
232,0,3
233,4,0
234,0,1
235,4,2
236,4,1
237,4,4
238,0,2
239,0,2
240,0,2
241,3,1
242,4,3
243,4,3
244,4,2
245,0,2
246,4,0
247,3,1
248,4,0
249,0,2
250,3,1
251,0,3
252,0,2
253,3,0
254,3,0
255,4,1
256,0,2
257,0,2
258,3,0
259,0,2
260,4,3
261,0,0
262,0,2
263,4,4
264,0,2
265,0,2
266,0,2
267,0,0
268,3,1
269,4,1
270,0,2
271,4,1
272,0,2
273,0,1
274,0,2
275,0,2
276,4,3
277,4,0
278,0,3
279,0,2
280,0,2
281,4,2
282,0,2
283,0,2
284,4,1
285,0,1
286,4,2
287,4,3
288,0,2
289,3,0
290,0,2
291,4,0
292,4,0
293,0,2
294,0,2
295,0,2
296,0,2
297,3,1
298,0,0
299,4,0
300,0,2
301,4,2
302,4,3
303,2,2
304,0,2
305,3,1
306,0,0
307,0,2
308,3,3
309,0,2
310,4,3
311,0,2
312,4,1
313,4,4
314,0,2
315,4,1
316,3,1
317,3,0
318,0,0
319,4,0
320,0,0
321,4,3
322,4,0
323,4,3
324,0,0
325,4,2
326,0,2
327,0,2
328,0,2
329,0,1
330,3,0
331,3,0
332,0,1
333,0,2
334,4,0
335,0,2
336,0,0
337,0,2
338,4,3
339,4,0
340,0,2
341,4,0
342,0,0
343,0,2
344,4,1
345,0,3
346,4,0
347,0,2
348,4,1
349,3,0
350,3,0
351,0,2
352,4,3
353,0,2
354,3,0
355,0,2
356,4,2
357,0,2
358,4,3
359,0,2
360,0,0
361,0,2
362,4,0
363,0,2
364,0,2
365,3,1
366,4,2
367,0,2
368,4,2
369,4,0
370,0,2
371,0,2
372,0,2
373,4,4
374,0,2
375,4,1
376,0,1
377,0,2
378,0,1
379,4,0
380,0,1
381,4,1
382,0,2
383,4,0
384,4,0
385,0,2
386,4,3
387,0,1
388,0,2
389,0,0
390,0,2
391,0,0
392,4,2
393,4,0
394,4,0
395,4,0
396,3,0
397,4,0
398,3,1
399,0,3
400,0,2
401,4,2
402,0,2
403,0,1
404,3,1
405,0,3
406,0,2
407,0,1
408,4,0
409,4,3
410,0,2
411,4,1
412,0,2
413,0,2
414,4,4
415,0,0
416,0,2
417,4,3
418,4,0
419,4,0
420,0,2
421,4,3
422,4,0
423,3,0
424,4,0
425,0,2
426,4,1
427,0,2
428,0,3
429,3,0
430,0,0
431,4,1
432,4,2
433,0,2
434,0,1
435,0,2
436,0,2
437,0,2
438,0,2
439,0,2
440,4,4
441,0,2
442,4,3
443,4,1
444,0,0
445,0,2
446,4,1
447,4,0
448,4,0
449,0,2
450,0,1
451,0,0
452,4,0
453,4,0
454,4,1
455,0,2
456,4,0
457,0,2
458,4,1
459,4,0
460,0,0
461,0,2
462,4,3
463,0,2
464,0,2
465,4,0
466,4,2
467,4,3
468,0,1
469,0,0
470,4,0
471,0,3
472,4,0
473,0,2
474,4,4
475,0,0
476,0,2
477,4,4
478,3,1
479,0,2
480,4,0
481,4,0
482,4,3
483,0,2
484,3,0
485,0,2
486,0,2
487,3,2
488,4,1
489,0,1
490,4,0
491,0,1
492,0,0
493,0,1
494,0,2
495,4,4
496,0,2
497,0,2
498,0,2
499,0,2
500,0,2
501,0,2
502,4,0
503,0,2
504,0,1
505,0,0
506,2,2
507,3,1
508,0,1
509,3,0
510,0,0
511,0,0
512,0,2
513,0,2
514,0,2
515,0,1
516,4,0
517,4,1
518,0,2
519,0,2
520,4,4
521,0,2
522,4,2
523,0,2
524,0,1
525,0,2
526,4,3
527,0,0
528,3,0
529,4,3
530,3,0
531,4,3
532,4,2
533,0,0
534,4,0
535,0,0
536,4,2
537,0,0
538,4,0
539,0,2
540,4,1
541,4,0
542,0,1
543,0,2
544,0,2
545,0,2
546,0,2
547,4,4
548,0,1
549,4,2
550,2,2
551,3,1
552,0,2
553,4,3
554,0,2
555,0,0
556,3,0
557,4,1
558,4,0
559,4,3
560,0,1
561,4,3
562,0,0
563,0,2
564,4,0
565,4,0
566,0,2
567,4,1
568,4,3
569,0,2
570,3,1
571,4,3
572,4,4
573,4,2
574,0,2
575,0,1
576,0,1
577,4,0
578,0,2
579,0,1
580,0,2
581,2,2
582,4,3
583,0,1
584,0,3
585,0,0
586,3,1
587,0,2
588,0,2
589,4,2
590,0,2
591,3,0
592,4,1
593,0,1
594,0,2
595,4,2
596,0,2
597,4,0
598,0,1
599,4,0
600,4,0
601,0,2
602,4,0
603,3,1
604,0,2
605,3,0
606,4,0
607,4,2
608,0,2
609,4,4
610,0,2
611,4,3
612,0,2
613,0,0
614,0,2
615,4,3
616,3,0
617,0,2
618,0,0
619,4,2
620,0,2
621,3,0
622,3,0
623,0,2
624,4,0
625,4,4
626,4,2
627,4,0
628,0,2
629,4,3
630,0,0
631,3,1
632,0,0
633,0,2
634,4,1
635,0,2
636,0,2
637,0,2
638,4,1
639,0,2
640,4,4
641,0,2
642,0,2
643,3,0
644,0,0
645,4,2
646,4,2
647,4,1
648,4,0
649,0,2
650,3,0
651,0,2
652,3,1
653,0,1
654,0,1
655,0,2
656,0,2
657,0,0
658,0,2
659,4,3
660,0,0
661,3,0
662,3,0
663,0,2
664,0,2
665,4,0
666,4,0
667,4,4
668,0,2
669,0,1
670,0,2
671,4,4
672,0,2
673,4,4
674,4,2
675,0,2
676,0,2
677,0,0
678,4,3
679,4,0
680,0,2
681,0,1
682,0,2
683,0,2
684,0,0
685,0,1
686,0,3
687,4,1
688,4,0
689,2,3
690,0,1
691,0,2
692,0,1
693,4,4
694,0,2
695,3,0
696,4,2
697,0,2
698,0,2
699,0,2
700,0,2
701,0,1
702,0,0
703,4,0
704,0,2
705,4,0
706,4,0
707,0,0
708,4,0
709,3,0
710,4,0
711,0,1
712,4,0
713,4,0
714,0,2
715,4,0
716,0,0
717,2,2
718,4,1
719,0,1
720,0,0
721,0,1
722,0,1
723,0,0
724,4,0
725,4,1
726,0,2
727,0,1
728,0,2
729,0,2
730,0,0
731,0,2
732,4,4
733,4,0
734,0,2
735,0,0
736,0,2
737,4,0
738,4,3
739,0,0
740,4,1
741,4,0
742,4,3
743,0,2
744,4,3
745,0,2
746,0,2
747,0,0
748,4,1
749,0,2
750,4,4
751,4,4
752,0,2
753,4,3
754,4,4
755,4,2
756,3,0
757,4,2
758,4,0
759,3,1
760,4,2
761,4,0
762,0,0
763,4,4
764,0,2
765,4,1
766,4,2
767,0,2
768,2,2
769,4,3
770,4,1
771,4,1
772,0,2
773,0,2
774,0,0
775,4,0
776,3,0
777,2,2
778,3,0
779,0,2
780,4,2
781,3,1
782,0,2
783,0,2
784,0,0
785,3,0
786,0,1
787,4,1
788,4,3
789,0,2
790,4,2
791,0,2
792,4,1
793,4,4
794,4,2
795,4,4
796,4,1
797,0,2
798,4,2
799,0,2
800,0,2
801,0,0
802,0,0
803,0,2
804,0,0
805,0,2
806,4,0
807,3,3
808,4,4
809,0,2
810,4,0
811,0,1
812,4,1
813,0,2
814,0,0
815,4,2
816,0,2
817,0,0
818,0,2
819,4,2
820,0,2
821,0,2
822,0,0
823,3,0
824,4,4
825,0,2
826,4,0
827,0,2
828,0,2
829,3,1
830,0,2
831,0,2
832,3,0
833,0,2
834,4,0
835,0,0
836,4,2
837,0,2
838,4,2
839,0,1
840,0,1
841,0,2
842,3,0
843,0,2
844,4,1
845,0,2
846,4,2
847,4,0
848,0,2
849,4,3
850,0,0
851,3,0
852,4,1
853,4,1
854,0,2
855,4,4
856,4,4
857,0,2
858,4,1
859,4,0
860,4,2
861,0,2
862,0,2
863,4,0
864,4,4
865,0,0
866,0,1
867,0,2
868,0,1
869,0,2
870,4,1
871,4,1
872,0,2
873,4,3
874,3,1
875,4,1
876,4,2
877,4,0
878,4,2
879,0,2
880,0,2
881,4,2
882,4,1
883,4,0
884,3,0
885,0,2
886,0,2
887,3,0
888,0,2
889,0,0
890,0,0
891,3,1
892,0,0
893,4,2
894,4,0
895,0,0
896,4,1
897,3,1
898,3,0
899,4,3
900,3,0
901,0,1
902,3,0
903,0,0
904,0,2
905,4,2
906,0,2
907,4,0
908,0,2
909,3,0
910,4,1
911,4,1
912,4,2
913,4,2
914,3,1
915,4,1
916,4,3
917,4,0
918,0,2
919,4,2
920,3,1
921,0,2
922,0,2
923,4,3
924,0,2
925,4,0
926,0,2
927,4,0
928,4,3
929,4,0
930,4,1
931,4,0
932,0,2
933,0,2
934,4,4
935,0,1
936,0,2
937,0,2
938,0,2
939,0,2
940,4,3
941,4,0
942,0,0
943,0,2
944,0,2
945,0,2
946,4,3
947,4,2
948,4,1
949,4,4
950,0,2
951,4,2
952,0,0
953,0,2
954,0,0
955,0,0
956,4,1
957,0,2
958,4,1
959,4,0
960,0,0
961,0,1
962,0,0
963,3,0
964,0,2
965,4,0
966,4,4
967,4,0
968,0,2
969,0,1
970,0,2
971,0,1
972,0,1
973,4,1
974,0,2
975,4,1
976,0,2
977,0,3
978,0,2
979,0,2
980,0,1
981,0,2
982,0,2
983,0,2
984,4,0
985,0,2
986,4,3
987,0,2
988,3,1
989,4,0
990,0,2
991,4,1
992,3,0
993,4,1
994,4,3
995,0,3
996,0,2
997,4,0
998,4,0
999,0,2
1000,4,2
1001,0,0
1002,0,2
1003,4,2
1004,4,0
1005,0,2
1006,0,2
1007,4,0
1008,0,0
1009,4,4
1010,4,1
1011,0,2
1012,4,1
1013,4,0
1014,0,1
1015,4,0
1016,3,3
1017,0,2
1018,4,1
1019,4,1
1020,3,0
1021,2,2
1022,3,1
1023,3,0
1024,4,0
1025,0,2
1026,0,2
1027,4,1
1028,0,2
1029,4,2
1030,0,2
1031,0,2
1032,4,3
1033,0,2
1034,4,0
1035,0,1
1036,4,0
1037,0,2
1038,3,3
1039,3,0
1040,0,3
1041,4,3
1042,4,4
1043,0,2
1044,0,2
1045,4,2
1046,0,2
1047,0,0
1048,0,0
1049,4,0
1050,0,1
1051,4,3
1052,4,0
1053,0,2
1054,4,3
1055,4,0
1056,0,2
1057,3,0
1058,0,2
1059,4,2
1060,2,2
1061,0,0
1062,4,3
1063,0,2
1064,0,0
1065,4,0
1066,0,2
1067,4,3
1068,0,2
1069,0,2
1070,4,2
1071,4,4
1072,3,1
1073,4,1
1074,0,2
1075,3,1
1076,0,2
1077,0,0
1078,4,0
1079,0,2
1080,3,0
1081,0,2
1082,0,2
1083,4,1
1084,0,1
1085,3,1
1086,0,0
1087,0,2
1088,4,0
1089,4,2
1090,0,1
1091,3,1
1092,0,3
1093,4,2
1094,4,0
1095,3,0
1096,0,2
1097,0,0
1098,0,1
1099,0,1
1100,4,3
1101,0,0
1102,0,2
1103,0,0
1104,0,1
1105,4,2
1106,3,1
1107,0,2
1108,0,2
1109,0,2
1110,0,2
1111,4,1
1112,0,2
1113,4,0
1114,0,2
1115,4,1
1116,0,0
1117,4,3
1118,4,2
1119,0,0
1120,0,2
1121,0,2
1122,4,3
1123,2,2
1124,0,2
1125,3,0
1126,0,2
1127,0,2
1128,0,2
1129,0,2
1130,0,2
1131,0,2
1132,4,0
1133,0,2
1134,0,2
1135,4,0
1136,4,0
1137,3,0
1138,0,2
1139,4,3
1140,3,1
1141,3,0
1142,4,4
1143,4,3
1144,3,0
1145,0,2
1146,4,0
1147,0,2
1148,4,4
1149,4,1
1150,4,0
1151,4,4
1152,0,1
1153,0,2
1154,4,0
1155,4,1
1156,3,0
1157,3,1
1158,4,0
1159,4,0
1160,4,1
1161,0,2
1162,4,4
1163,4,0
1164,4,0
1165,3,1
1166,4,2
1167,0,1
1168,4,3
1169,3,1
1170,4,0
1171,4,1
1172,0,3
1173,0,0
1174,3,0
1175,0,2
1176,0,1
1177,4,1
1178,0,2
1179,0,2
1180,4,0
1181,0,2
1182,4,1
1183,4,2
1184,4,0
1185,4,1
1186,0,0
1187,0,0
1188,0,1
1189,0,2
1190,4,0
1191,4,0
1192,0,2
1193,0,0
1194,0,2
1195,4,2
1196,0,2
1197,0,0
1198,3,1
1199,0,2
1200,0,2
1201,4,0
1202,4,1
1203,3,0
1204,0,2
1205,0,0
1206,0,1
1207,3,0
1208,0,1
1209,4,0
1210,0,2
1211,4,0
1212,0,2
1213,4,3
1214,0,2
